Year,Depth,Area,Catchment,ResTime,TP,DOC,SD,SD_Summer,MinWeek,MaxWeek 
1991,28.6,2.1,14.5,5.2,NaN,NaN,2.4,2.1,NaN,21.0 
1992,28.6,2.1,14.5,5.2,73.0,NaN,4.4,3.6,NaN,22.0 
1993,28.6,2.1,14.5,5.2,77.0,3.7,4.2,4.0,17.0,21.0 
1994,28.6,2.1,14.5,5.2,67.0,4.4,4.2,4.1,17.0,25.0 
1995,28.6,2.1,14.5,5.2,64.0,4.3,4.8,3.3,17.0,24.0 
1996,28.6,2.1,14.5,5.2,63.0,3.9,4.0,4.0,NaN,26.0 
1997,28.6,2.1,14.5,5.2,51.0,4.2,4.2,3.5,16.0,25.0 
1998,28.6,2.1,14.5,5.2,50.0,3.2,4.0,2.9,17.0,22.0 
1999,28.6,2.1,14.5,5.2,34.0,8.3,4.3,3.8,14.0,21.0 
2000,28.6,2.1,14.5,5.2,34.0,NaN,4.4,2.9,16.0,21.0 
2001,28.6,2.1,14.5,5.2,42.0,3.5,4.9,4.2,17.0,22.0 
2002,28.6,2.1,14.5,5.2,56.0,5.3,NaN,NaN,NaN,NaN 
2003,28.6,2.1,14.5,5.2,38.0,3.5,2.9,2.5,NaN,28.0 
2004,28.6,2.1,14.5,5.2,31.0,6.0,4.1,3.6,NaN,NaN 
2005,28.6,2.1,14.5,5.2,NaN,NaN,NaN,NaN,NaN,NaN 
2006,28.6,2.1,14.5,5.2,24.0,2.9,3.5,3.8,NaN,22.0 
2007,28.6,2.1,14.5,5.2,96.0,NaN,3.4,2.8,12.0,18.0 
2008,28.6,2.1,14.5,5.2,45.0,4.5,3.7,3.5,17.0,20.0 
2009,28.6,2.1,14.5,5.2,75.0,NaN,3.6,3.6,17.0,22.0 
2010,28.6,2.1,14.5,5.2,65.0,NaN,3.7,3.7,15.0,24.0 
2011,28.6,2.1,14.5,5.2,40.0,4.3,3.4,3.5,NaN,22.0 
2012,28.6,2.1,14.5,5.2,70.0,4.5,3.2,3.4,NaN,22.0 
2013,28.6,2.1,14.5,5.2,68.0,4.6,3.8,3.8,NaN,24.0 
2014,28.6,2.1,14.5,5.2,58.0,4.8,3.9,4.2,NaN,21.0 
2015,28.6,2.1,14.5,5.2,54.0,4.6,3.6,3.6,NaN,21.0 
2016,28.6,2.1,14.5,5.2,56.0,5.7,4.0,3.6,NaN,22.0 
2017,28.6,2.1,14.5,5.2,65.0,4.8,3.9,3.9,15.0,22.0 
2018,28.6,2.1,14.5,5.2,59.0,4.9,3.5,3.9,17.0,21.0 
2019,28.6,2.1,14.5,5.2,54.0,4.9,3.8,3.6,NaN,21.0 
2020,28.6,2.1,14.5,5.2,60.0,5.3,3.5,3.6,NaN,21.0 
2021,28.6,2.1,14.5,5.2,61.0,4.9,4.1,4.5,14.0,24.0 
2022,28.6,2.1,14.5,5.2,39.0,4.8,3.6,3.3,NaN,19.0 
2023,28.6,2.1,14.5,5.2,52.0,4.8,3.6,3.3,NaN,22.0 
2024,28.6,2.1,14.5,5.2,75.0,4.7,3.7,3.1,NaN,19.0 
1991,15.0,1.3,59.1,0.5,NaN,NaN,2.9,NaN,NaN,NaN 
1992,15.0,1.3,59.1,0.5,98.0,NaN,NaN,NaN,NaN,NaN 
1993,15.0,1.3,59.1,0.5,140.0,3.9,2.0,1.0,NaN,19.0 
1994,15.0,1.3,59.1,0.5,137.0,4.8,1.7,0.8,NaN,21.0 
1995,15.0,1.3,59.1,0.5,148.0,4.1,1.8,1.0,NaN,21.0 
1996,15.0,1.3,59.1,0.5,134.0,3.9,1.6,1.1,NaN,23.0 
1997,15.0,1.3,59.1,0.5,100.0,5.2,2.2,1.5,14.0,21.0 
1998,15.0,1.3,59.1,0.5,119.0,2.5,2.6,1.6,13.0,22.0 
1999,15.0,1.3,59.1,0.5,104.0,4.6,2.7,1.6,10.0,19.0 
2000,15.0,1.3,59.1,0.5,69.0,NaN,2.8,1.8,11.0,18.0 
2001,15.0,1.3,59.1,0.5,91.0,4.8,2.6,1.9,12.0,19.0 
2002,15.0,1.3,59.1,0.5,92.0,5.2,2.2,1.3,16.0,21.0 
2003,15.0,1.3,59.1,0.5,146.0,5.5,2.3,1.2,14.0,22.0 
2004,15.0,1.3,59.1,0.5,93.0,4.8,2.3,1.4,12.0,20.0 
2005,15.0,1.3,59.1,0.5,110.0,6.0,2.7,2.0,8.0,20.0 
2006,15.0,1.3,59.1,0.5,87.0,1.7,2.1,1.7,16.0,21.0 
2007,15.0,1.3,59.1,0.5,104.0,NaN,2.5,1.6,11.0,17.0 
2008,15.0,1.3,59.1,0.5,115.0,5.1,2.5,1.4,13.0,20.0 
2009,15.0,1.3,59.1,0.5,133.0,NaN,2.0,1.3,11.0,20.0 
2010,15.0,1.3,59.1,0.5,116.0,NaN,2.2,1.5,15.0,21.0 
2011,15.0,1.3,59.1,0.5,80.0,5.2,2.1,1.5,14.0,19.0 
2012,15.0,1.3,59.1,0.5,110.0,4.5,2.2,1.5,NaN,19.0 
2013,15.0,1.3,59.1,0.5,150.0,5.0,2.0,1.4,NaN,21.0 
2014,15.0,1.3,59.1,0.5,160.0,5.3,2.4,1.7,10.0,19.0 
2015,15.0,1.3,59.1,0.5,120.0,5.1,2.6,1.5,11.0,19.0 
2016,15.0,1.3,59.1,0.5,130.0,5.7,2.5,2.2,11.0,18.0 
2017,15.0,1.3,59.1,0.5,170.0,7.0,2.3,1.5,NaN,21.0 
2018,15.0,1.3,59.1,0.5,120.0,5.1,2.2,1.4,NaN,21.0 
2019,15.0,1.3,59.1,0.5,140.0,5.3,2.3,NaN,NaN,NaN 
2020,15.0,1.3,59.1,0.5,120.0,5.7,1.9,1.1,NaN,NaN 
2021,15.0,1.3,59.1,0.5,100.0,4.9,2.6,2.0,10.0,20.0 
2022,15.0,1.3,59.1,0.5,110.0,5.2,2.5,1.9,9.0,17.0 
2023,15.0,1.3,59.1,0.5,140.0,5.4,2.7,1.9,10.0,19.0 
2024,15.0,1.3,59.1,0.5,110.0,5.1,2.5,1.7,14.0,20.0 
1991,3.0,0.1,0.8,0.8,NaN,NaN,0.6,NaN,NaN,15.0 
1992,3.0,0.1,0.8,0.8,107.0,NaN,NaN,NaN,NaN,NaN 
1993,3.0,0.1,0.8,0.8,114.0,10.1,NaN,NaN,NaN,NaN 
1994,3.0,0.1,0.8,0.8,150.0,7.3,0.6,0.4,NaN,15.0 
1995,3.0,0.1,0.8,0.8,231.0,6.1,0.8,0.6,13.0,19.0 
1996,3.0,0.1,0.8,0.8,77.0,5.7,0.7,0.6,NaN,28.0 
1997,3.0,0.1,0.8,0.8,56.0,6.6,0.8,0.7,NaN,15.0 
1998,3.0,0.1,0.8,0.8,83.0,4.8,0.8,0.9,NaN,29.0 
1999,3.0,0.1,0.8,0.8,124.0,7.2,0.8,0.8,7.0,30.0 
2000,3.0,0.1,0.8,0.8,144.0,NaN,0.8,0.8,11.0,29.0 
2001,3.0,0.1,0.8,0.8,69.0,8.6,0.8,0.8,10.0,30.0 
2002,3.0,0.1,0.8,0.8,135.0,11.4,0.8,0.8,NaN,30.0 
2003,3.0,0.1,0.8,0.8,82.0,14.0,0.9,0.7,NaN,15.0 
2004,3.0,0.1,0.8,0.8,97.0,10.1,0.8,0.9,NaN,16.0 
2005,3.0,0.1,0.8,0.8,114.0,11.0,0.8,0.8,NaN,15.0 
2006,3.0,0.1,0.8,0.8,218.0,17.4,0.7,0.7,NaN,15.0 
2007,3.0,0.1,0.8,0.8,NaN,NaN,0.9,0.6,NaN,29.0 
2008,3.0,0.1,0.8,0.8,NaN,9.4,0.9,0.5,14.0,19.0 
2009,3.0,0.1,0.8,0.8,NaN,NaN,1.0,0.5,12.0,15.0 
2010,3.0,0.1,0.8,0.8,NaN,NaN,NaN,NaN,NaN,NaN 
2011,3.0,0.1,0.8,0.8,150.0,9.7,0.8,0.4,8.0,16.0 
2012,3.0,0.1,0.8,0.8,80.0,7.0,0.9,0.5,10.0,18.0 
2013,3.0,0.1,0.8,0.8,110.0,9.2,0.9,0.4,13.0,16.0 
2014,3.0,0.1,0.8,0.8,250.0,5.2,1.2,0.6,9.0,18.0 
2015,3.0,0.1,0.8,0.8,95.0,7.4,1.2,0.5,14.0,20.0 
2016,3.0,0.1,0.8,0.8,84.0,11.0,1.1,0.6,NaN,15.0 
2017,3.0,0.1,0.8,0.8,74.0,9.8,0.9,0.6,13.0,17.0 
2018,3.0,0.1,0.8,0.8,120.0,14.0,0.9,0.5,NaN,15.0 
2019,3.0,0.1,0.8,0.8,120.0,11.0,0.7,0.4,11.0,19.0 
2020,3.0,0.1,0.8,0.8,220.0,11.0,0.7,0.4,13.0,15.0 
2021,3.0,0.1,0.8,0.8,120.0,9.0,1.0,0.4,13.0,17.0 
2022,3.0,0.1,0.8,0.8,130.0,8.4,0.9,0.5,12.0,16.0 
2023,3.0,0.1,0.8,0.8,150.0,9.2,1.4,0.7,12.0,16.0 
2024,3.0,0.1,0.8,0.8,270.0,12.0,1.1,0.5,NaN,17.0 
1991,6.3,0.1,4.3,0.3,NaN,NaN,3.3,3.3,NaN,27.0 
1992,6.3,0.1,4.3,0.3,115.0,NaN,2.8,2.1,NaN,21.0 
1993,6.3,0.1,4.3,0.3,78.0,2.6,3.0,3.1,16.0,20.0 
1994,6.3,0.1,4.3,0.3,97.0,3.3,2.8,2.5,NaN,21.0 
1995,6.3,0.1,4.3,0.3,92.0,3.1,2.9,2.4,14.0,18.0 
1996,6.3,0.1,4.3,0.3,56.0,3.2,2.9,2.9,NaN,22.0 
1997,6.3,0.1,4.3,0.3,74.0,4.8,2.3,2.1,NaN,23.0 
1998,6.3,0.1,4.3,0.3,62.0,5.4,2.2,1.9,NaN,22.0 
1999,6.3,0.1,4.3,0.3,59.0,4.2,1.9,1.9,NaN,24.0 
2000,6.3,0.1,4.3,0.3,24.0,5.6,1.9,1.7,NaN,24.0 
2001,6.3,0.1,4.3,0.3,56.0,3.5,1.9,1.7,NaN,25.0 
2002,6.3,0.1,4.3,0.3,93.0,5.5,1.7,1.9,NaN,30.0 
2003,6.3,0.1,4.3,0.3,66.0,6.3,1.4,1.6,NaN,28.0 
2004,6.3,0.1,4.3,0.3,81.0,5.0,1.2,1.3,NaN,17.0 
2005,6.3,0.1,4.3,0.3,NaN,NaN,1.3,1.5,NaN,25.0 
2006,6.3,0.1,4.3,0.3,85.0,5.0,1.6,1.7,NaN,26.0 
2007,6.3,0.1,4.3,0.3,166.0,NaN,1.7,1.6,NaN,22.0 
2008,6.3,0.1,4.3,0.3,124.0,4.3,1.7,1.5,NaN,22.0 
2009,6.3,0.1,4.3,0.3,98.0,NaN,2.3,2.5,NaN,22.0 
2010,6.3,0.1,4.3,0.3,138.0,NaN,2.5,2.4,NaN,25.0 
2011,6.3,0.1,4.3,0.3,25.0,4.2,1.9,1.4,NaN,22.0 
2012,6.3,0.1,4.3,0.3,70.0,4.2,NaN,NaN,NaN,NaN 
2013,6.3,0.1,4.3,0.3,120.0,4.6,NaN,NaN,NaN,NaN 
2014,6.3,0.1,4.3,0.3,130.0,5.2,NaN,NaN,NaN,NaN 
2015,6.3,0.1,4.3,0.3,99.0,4.6,NaN,NaN,NaN,NaN 
2016,6.3,0.1,4.3,0.3,89.0,5.2,NaN,NaN,NaN,NaN 
2017,6.3,0.1,4.3,0.3,98.0,4.6,NaN,NaN,NaN,NaN 
2018,6.3,0.1,4.3,0.3,110.0,4.6,NaN,NaN,NaN,NaN 
2019,6.3,0.1,4.3,0.3,91.0,5.3,NaN,NaN,NaN,NaN 
2020,6.3,0.1,4.3,0.3,140.0,5.2,NaN,NaN,NaN,NaN 
2021,6.3,0.1,4.3,0.3,100.0,4.9,NaN,NaN,NaN,NaN 
2022,6.3,0.1,4.3,0.3,140.0,5.3,3.4,3.3,NaN,26.0 
2023,6.3,0.1,4.3,0.3,170.0,4.9,3.4,3.6,NaN,26.0 
2024,6.3,0.1,4.3,0.3,130.0,NaN,2.8,2.4,NaN,20.0 
